title,artist,top genre,year released,added,dnce,val,dur,pop,artist type
Battle Scars (with Guy Sebastian),Lupe Fiasco,chicago rap,2012,2020‑06‑22,52,49,250,74,Solo
Primadonna,MARINA,art pop,2012,2020‑06‑22,66,43,221,84,Solo
How to Be a Heartbreaker,MARINA,art pop,2012,2020‑06‑22,69,85,221,77,Solo
One More Night,Maroon 5,pop,2012,2020‑06‑22,72,61,219,74,Band/Group
Payphone,Maroon 5,pop,2012,2020‑06‑22,74,52,231,69,Band/Group
Adorn,Miguel,dance pop,2012,2020‑06‑22,63,24,193,72,Solo
Madness,Muse,modern rock,2012,2020‑06‑22,50,22,281,72,Band/Group
Everybody Talks,Neon Trees,modern alternative rock,2012,2020‑06‑22,47,73,177,85,Band/Group
Starships,Nicki Minaj,dance pop,2011,2020‑06‑22,75,75,211,78,Solo
Pound The Alarm,Nicki Minaj,dance pop,2012,2020‑06‑22,73,59,206,69,Solo
Dirty Paws,Of Monsters and Men,folk-pop,2012,2021‑08‑09,36,13,278,74,Band/Group
Troublemaker (feat. Flo Rida),Olly Murs,dance pop,2012,2020‑06‑22,76,97,186,80,Solo
What Makes You Beautiful,One Direction,boy band,2012,2020‑06‑22,73,89,200,88,Band/Group
Live While We're Young,One Direction,boy band,2012,2020‑06‑22,66,93,200,79,Band/Group
Million Voices - Radio Edit,Otto Knows,edm,2012,2020‑06‑22,58,7,193,75,Solo
Good Time,Owl City,indietronica,2012,2020‑06‑22,56,68,206,82,Band/Group
Blow Me (One Last Kiss),P!nk,dance pop,2012,2020‑06‑22,60,73,256,71,Solo
Take a Walk,Passion Pit,alternative dance,2012,2020‑06‑22,57,45,264,74,Band/Group
"Gone, Gone, Gone",Phillip Phillips,folk-pop,2013,2020‑06‑22,66,50,210,76,Solo
Home,Phillip Phillips,folk-pop,2013,2021‑08‑09,61,32,210,73,Solo
Gangnam Style (강남스타일),PSY,k-pop,2012,2020‑06‑22,73,75,219,77,Solo
